Job_ID,Required_Skill_Level,Required_Experience,Salary_Offer
J_1,36,9,34996
J_2,65,3,41983
J_3,93,0,47861
J_4,95,9,64836
J_5,44,5,42617
J_6,68,1,40865
J_7,88,1,40367
J_8,37,3,32674
J_9,48,7,47979
J_10,85,0,45947
J_11,42,6,39337
J_12,26,7,43061
J_13,44,9,48073
J_14,28,0,25772
J_15,58,9,51445
J_16,82,4,53880
J_17,40,4,35283
J_18,68,3,37415
J_19,56,4,39257
J_20,85,7,47397
J_21,15,5,28759
J_22,87,3,49936
J_23,20,8,36865
J_24,92,4,50846
J_25,13,7,30727
J_26,59,0,37369
J_27,50,3,34464
J_28,37,1,28310
J_29,88,6,58977
J_30,13,2,22444
J_31,87,4,44096
J_32,76,10,55760
J_33,15,2,19852
J_34,47,1,40449
J_35,45,0,32079
J_36,66,3,33757
J_37,46,6,33540
J_38,66,8,53128
J_39,70,7,51874
J_40,15,1,27748
J_41,88,6,46342
J_42,60,6,47672
J_43,66,10,53890
J_44,85,2,46561
J_45,59,7,50407
J_46,46,1,28046
J_47,15,3,22809
J_48,63,10,48378
J_49,77,6,51458
J_50,14,2,26595
J_51,19,10,39872
J_52,87,4,45839
J_53,15,3,22232
J_54,76,4,48084
J_55,57,4,46406
J_56,67,7,53594
J_57,65,6,47177
J_58,23,2,24422
J_59,29,5,32806
J_60,77,1,34382
J_61,12,5,28181
J_62,81,9,50434
J_63,81,8,57297
J_64,11,8,33592
J_65,73,9,43796
J_66,81,6,50258
J_67,42,8,43402
J_68,66,10,47363
J_69,85,6,56415
J_70,72,7,52114
J_71,36,3,34824
J_72,87,8,57890
J_73,95,10,51594
J_74,15,8,33033
J_75,20,0,25410
J_76,36,2,28520
J_77,44,5,45868
J_78,17,9,33736
J_79,22,0,25172
J_80,79,9,53703
J_81,87,8,52511
J_82,45,1,35507
J_83,52,5,39797
J_84,39,6,43651
J_85,55,8,49501
J_86,23,3,36717
J_87,80,5,53455
J_88,29,3,24429
J_89,53,3,31692
J_90,36,8,35299
J_91,23,6,34023
J_92,59,3,38323
J_93,69,4,36413
J_94,93,8,50000
J_95,92,8,62560
J_96,86,4,54008
J_97,21,8,31346
J_98,76,0,35105
J_99,14,2,33571
J_100,85,6,44823
J_101,77,2,42173
J_102,22,0,22291
J_103,53,6,41964
J_104,39,0,25824
J_105,48,6,40137
J_106,89,10,55532
J_107,34,2,32804
J_108,62,3,47294
J_109,70,7,48136
J_110,15,1,29024
J_111,34,10,40413
J_112,42,2,27209
J_113,32,5,35629
J_114,22,7,40890
J_115,92,8,48307
J_116,60,6,42956
J_117,25,7,40766
J_118,74,1,44212
J_119,50,3,38469
J_120,71,8,42067
J_121,40,8,46839
J_122,88,6,46285
J_123,94,5,48963
J_124,65,6,47004
J_125,29,8,41787
J_126,88,1,45679
J_127,40,7,47238
J_128,21,10,44273
J_129,38,8,45620
J_130,64,8,42637
J_131,63,4,40288
J_132,41,1,37115
J_133,23,9,36153
J_134,53,6,37241
J_135,24,6,30189
J_136,31,5,29329
J_137,41,2,33937
J_138,18,1,30376
J_139,34,9,49709
J_140,69,10,58699
J_141,70,6,49009
J_142,48,7,36648
J_143,57,8,40723
J_144,37,2,39557
J_145,13,2,23849
J_146,24,4,37827
J_147,12,7,40724
J_148,21,10,43254
J_149,95,8,57048
J_150,15,6,27686
J_151,75,2,34307
J_152,68,0,31503
J_153,91,1,50672
J_154,88,9,51053
J_155,82,2,50009
J_156,52,6,42743
J_157,46,3,37061
J_158,24,9,34240
J_159,90,1,45981
J_160,91,7,48114
J_161,40,9,39305
J_162,86,0,38808
J_163,81,7,49788
J_164,43,3,41779
J_165,35,8,46886
J_166,60,8,51249
J_167,54,9,45775
J_168,32,9,42044
J_169,23,4,33870
J_170,19,4,37593
J_171,85,8,47810
J_172,42,2,38110
J_173,92,5,49601
J_174,77,2,44224
J_175,18,1,23101
J_176,14,6,26917
J_177,77,5,53957
J_178,14,5,31869
J_179,88,6,53253
J_180,32,10,37873
J_181,20,1,29750
J_182,36,4,42699
J_183,77,2,35828
J_184,33,5,31250
J_185,94,4,56334
J_186,13,5,34211
J_187,52,6,36979
J_188,65,8,53442
J_189,35,10,49425
J_190,24,9,38951
J_191,74,1,38410
J_192,82,4,38674
J_193,60,1,35235
J_194,18,2,24338
J_195,82,8,45117
J_196,58,4,39300
J_197,33,5,35356
J_198,76,2,46202
J_199,55,1,31937
J_200,74,1,41302
J_201,64,2,34216
J_202,39,2,27097
J_203,56,5,44612
J_204,53,4,43615
J_205,69,4,45187
J_206,93,5,53324
J_207,59,8,39864
J_208,20,7,38268
J_209,37,5,31231
J_210,83,3,52829
J_211,93,6,52267
J_212,19,10,35147
J_213,91,3,55206
J_214,48,0,31810
J_215,42,8,47126
J_216,26,4,39598
J_217,21,5,34983
J_218,73,5,40187
J_219,81,7,50019
J_220,49,0,36039
J_221,80,10,61494
J_222,75,2,45179
J_223,75,6,49832
J_224,78,2,40647
J_225,67,2,41633
J_226,31,1,21650
J_227,86,5,42706
J_228,49,7,40468
J_229,87,9,54546
J_230,49,1,35756
J_231,68,2,36697
J_232,72,1,34390
J_233,54,2,40956
J_234,47,7,40042
J_235,52,8,39552
J_236,16,8,39946
J_237,61,4,42988
J_238,75,3,48074
J_239,37,8,48113
J_240,64,10,47340
J_241,12,0,16224
J_242,32,10,45342
J_243,11,0,16657
J_244,26,8,32487
J_245,24,9,44242
J_246,71,3,44328
J_247,16,9,44172
J_248,46,3,29242
J_249,43,8,35302
J_250,72,0,33713
J_251,61,9,54869
J_252,25,9,33659
J_253,41,10,38264
J_254,23,3,25586
J_255,57,8,52345
J_256,62,3,42842
J_257,77,7,52957
J_258,87,10,60577
J_259,37,8,42845
J_260,34,3,36820
J_261,37,0,29770
J_262,89,7,51511
J_263,69,6,41159
J_264,80,3,40613
J_265,84,4,41961
J_266,17,3,30353
J_267,95,0,48096
J_268,18,4,35913
J_269,16,1,22723
J_270,45,1,33230
J_271,40,5,38755
J_272,46,1,28924
J_273,17,9,39189
J_274,73,2,42787
J_275,39,9,41021
J_276,28,9,44360
J_277,21,8,40823
J_278,37,6,39623
J_279,58,4,42002
J_280,64,10,53858
J_281,64,3,35464
J_282,76,0,34143
J_283,37,9,41439
J_284,34,1,37857
J_285,23,10,43709
J_286,24,1,21352
J_287,39,8,37795
J_288,74,0,38351
J_289,59,1,42510
J_290,12,5,25819
J_291,56,3,42544
J_292,56,6,44077
J_293,54,0,29968
J_294,81,1,39889
J_295,41,6,33019
J_296,65,3,45404
J_297,29,2,25613
J_298,28,4,35286
J_299,31,0,34684
J_300,48,5,44413
J_301,31,5,33337
J_302,73,0,41145
J_303,88,10,62777
J_304,15,2,23332
J_305,33,4,26403
J_306,79,0,35861
J_307,79,6,51534
J_308,37,10,48905
J_309,28,3,29115
J_310,79,0,38268
J_311,47,5,39997
J_312,90,3,39592
J_313,63,10,46573
J_314,63,4,36546
J_315,76,9,44756
J_316,39,0,29209
J_317,74,6,45504
J_318,43,6,37464
J_319,29,10,42370
J_320,89,4,42346
J_321,39,6,42458
J_322,71,9,53905
J_323,40,4,40445
J_324,92,10,60825
J_325,49,8,49405
J_326,76,4,51681
J_327,66,4,35010
J_328,11,10,29874
J_329,42,3,41110
J_330,69,8,55364
J_331,63,7,52525
J_332,82,9,52102
J_333,51,5,33693
J_334,64,8,51966
J_335,55,4,36699
J_336,48,2,33194
J_337,63,10,48541
J_338,25,0,34156
J_339,64,2,31241
J_340,11,3,19660
J_341,60,10,50918
J_342,33,1,34900
J_343,91,1,50953
J_344,81,10,57703
J_345,34,10,47645
J_346,26,2,31662
J_347,46,8,46942
J_348,64,0,30519
J_349,29,2,28643
J_350,29,9,42002
J_351,50,3,38824
J_352,29,10,35906
J_353,86,8,59081
J_354,39,9,41307
J_355,87,9,61759
J_356,91,1,47428
J_357,55,6,46386
J_358,48,0,26738
J_359,90,1,36180
J_360,11,1,29723
J_361,25,7,37268
J_362,44,6,47994
J_363,40,7,45372
J_364,30,9,37855
J_365,37,0,31989
J_366,12,0,21401
J_367,92,1,41451
J_368,13,3,31825
J_369,19,2,32058
J_370,69,10,49046
J_371,28,3,31979
J_372,13,4,36007
J_373,24,3,30942
J_374,33,9,45281
J_375,40,5,34536
J_376,69,6,39828
J_377,64,3,32798
J_378,17,8,32003
J_379,11,0,17769
J_380,24,10,43158
J_381,73,9,48769
J_382,21,7,43511
J_383,12,4,21734
J_384,47,1,29769
J_385,93,6,53042
J_386,80,3,45063
J_387,81,2,36896
J_388,43,8,42672
J_389,65,2,42689
J_390,22,9,40340
J_391,51,6,48779
J_392,53,6,35429
J_393,53,3,33664
J_394,41,8,46810
J_395,36,5,33849
J_396,51,3,42206
J_397,52,5,43304
J_398,86,4,41398
J_399,66,9,50089
J_400,88,2,52583
J_401,43,0,31543
J_402,26,8,30979
J_403,77,10,51701
J_404,45,3,42229
J_405,80,1,34849
J_406,22,8,32268
J_407,90,1,47290
J_408,83,8,53661
J_409,60,1,37991
J_410,84,6,50591
J_411,75,3,42018
J_412,71,4,51129
J_413,28,10,36854
J_414,35,8,39820
J_415,53,5,40074
J_416,29,6,40405
J_417,38,0,26842
J_418,45,0,23763
J_419,86,1,42444
J_420,52,9,47641
J_421,54,7,41491
J_422,82,4,38978
J_423,65,3,47323
J_424,11,8,35030
J_425,37,8,37286
J_426,68,8,51305
J_427,31,3,31071
J_428,28,5,29218
J_429,90,6,45669
J_430,65,9,55451
J_431,38,10,43088
J_432,16,6,35777
J_433,58,8,50935
J_434,64,1,33362
J_435,76,0,34751
J_436,85,8,56478
J_437,27,8,33950
J_438,89,6,45502
J_439,23,10,45305
J_440,60,9,54080
J_441,36,0,22622
J_442,83,3,39092
J_443,86,9,61207
J_444,74,4,47532
J_445,30,0,35114
J_446,39,2,40274
J_447,75,0,36521
J_448,13,5,26741
J_449,42,8,42377
J_450,33,7,44259
J_451,63,5,42712
J_452,75,2,36778
J_453,68,5,37578
J_454,41,1,26836
J_455,56,10,48114
J_456,33,0,32134
J_457,76,8,57529
J_458,17,4,34566
J_459,64,5,45981
J_460,62,8,51240
J_461,42,2,26527
J_462,26,3,28777
J_463,57,0,41028
J_464,88,1,35584
J_465,26,0,19358
J_466,46,7,46520
J_467,18,1,20577
J_468,45,6,45636
J_469,90,8,46901
J_470,16,1,23032
J_471,18,1,22368
J_472,92,7,54480
J_473,13,4,21431
J_474,50,0,25935
J_475,27,0,34457
J_476,11,7,37911
J_477,53,8,43218
J_478,24,0,30487
J_479,40,4,43229
J_480,24,2,29638
J_481,26,6,31322
J_482,21,7,33579
J_483,31,9,44912
J_484,14,1,29860
J_485,83,5,43666
J_486,58,5,40387
J_487,25,1,26205
J_488,86,1,46323
J_489,76,9,60319
J_490,19,1,24743
J_491,58,2,41209
J_492,75,6,47002
J_493,42,3,42929
J_494,30,1,35660
J_495,83,6,55365
J_496,63,7,50804
J_497,58,4,36683
J_498,83,5,45287
J_499,21,1,31925
J_500,69,9,57588
