Applicant_ID,Skill_Level,Years_Experience,Expected_Salary
A_1,61,3,41508
A_2,64,6,40739
A_3,39,6,37072
A_4,89,5,51693
A_5,9,12,38194
A_6,60,6,43464
A_7,69,6,45426
A_8,10,2,22837
A_9,39,9,45557
A_10,63,7,42032
A_11,67,2,40773
A_12,81,4,49122
A_13,96,6,55223
A_14,50,14,49724
A_15,100,2,48930
A_16,18,1,29105
A_17,24,2,28746
A_18,37,11,42250
A_19,16,14,45877
A_20,52,10,46762
A_21,25,3,29294
A_22,73,7,50016
A_23,98,6,57085
A_24,76,0,36395
A_25,40,6,38553
A_26,65,12,59106
A_27,40,12,46014
A_28,71,14,60030
A_29,49,11,47347
A_30,13,12,43782
A_31,93,15,66884
A_32,1,2,24612
A_33,34,10,46028
A_34,58,12,55744
A_35,15,1,21753
A_36,86,2,46220
A_37,19,2,27951
A_38,92,2,48090
A_39,4,15,39515
A_40,55,8,49808
A_41,38,10,42063
A_42,33,4,32660
A_43,89,14,59323
A_44,83,12,53881
A_45,40,6,37621
A_46,80,8,52635
A_47,23,11,47227
A_48,74,7,44034
A_49,41,15,56700
A_50,79,10,49925
A_51,19,6,37200
A_52,11,2,23154
A_53,98,9,62283
A_54,56,3,39059
A_55,30,6,39454
A_56,18,7,34050
A_57,9,2,25834
A_58,59,10,48003
A_59,19,9,33524
A_60,52,9,50752
A_61,42,6,40115
A_62,24,6,31610
A_63,16,5,30946
A_64,40,15,56478
A_65,55,12,54555
A_66,24,9,40314
A_67,41,9,41181
A_68,16,7,35672
A_69,10,8,32491
A_70,42,4,40340
A_71,37,6,37828
A_72,29,8,43310
A_73,76,9,54355
A_74,59,10,49341
A_75,63,7,50264
A_76,53,13,53224
A_77,19,12,39139
A_78,12,14,44205
A_79,69,2,37698
A_80,88,8,52555
A_81,10,11,39128
A_82,100,1,49786
A_83,99,2,49872
A_84,66,10,53975
A_85,14,6,36900
A_86,40,0,33056
A_87,36,13,49736
A_88,46,5,36701
A_89,47,10,47299
A_90,88,12,58111
A_91,45,3,39908
A_92,83,5,49288
A_93,19,2,27087
A_94,92,1,42700
A_95,64,12,50334
A_96,15,4,29486
A_97,12,8,36202
A_98,14,11,36997
A_99,35,2,30495
A_100,78,15,59781
A_101,13,13,39556
A_102,22,13,47684
A_103,8,3,28714
A_104,9,15,46041
A_105,32,14,48146
A_106,52,15,51705
A_107,96,2,42333
A_108,90,10,54069
A_109,62,7,50903
A_110,94,2,45228
A_111,39,10,47484
A_112,73,12,59539
A_113,41,2,31934
A_114,68,13,58007
A_115,69,11,58334
A_116,5,9,38847
A_117,20,5,32121
A_118,83,3,49999
A_119,73,10,50040
A_120,36,7,39996
A_121,83,12,55391
A_122,28,6,36881
A_123,51,11,52700
A_124,86,15,64370
A_125,45,0,34679
A_126,87,6,46785
A_127,29,12,43931
A_128,95,15,67471
A_129,73,3,44191
A_130,38,5,34146
A_131,96,0,46692
A_132,36,14,50357
A_133,41,15,49769
A_134,44,8,45780
A_135,82,6,47321
A_136,5,4,29572
A_137,47,6,44959
A_138,86,1,38479
A_139,66,13,53843
A_140,80,11,55447
A_141,65,8,51328
A_142,48,13,53857
A_143,35,15,52338
A_144,56,2,39409
A_145,75,3,42712
A_146,56,3,39394
A_147,53,10,51224
A_148,83,8,51334
A_149,43,15,48964
A_150,73,15,60288
A_151,13,1,26107
A_152,93,5,51597
A_153,23,15,46097
A_154,89,2,40870
A_155,52,9,43704
A_156,62,4,42296
A_157,20,11,42816
A_158,34,13,46365
A_159,44,15,55819
A_160,98,7,55759
A_161,38,8,41856
A_162,5,7,34727
A_163,66,9,52222
A_164,97,0,47392
A_165,45,13,51207
A_166,87,13,64304
A_167,49,6,44502
A_168,75,4,41760
A_169,41,4,37186
A_170,30,2,31468
A_171,59,15,56418
A_172,29,1,33088
A_173,56,8,41877
A_174,6,8,32264
A_175,44,9,44789
A_176,41,5,36798
A_177,100,11,57990
A_178,28,13,42716
A_179,93,6,55903
A_180,40,12,51636
A_181,92,6,52986
A_182,56,1,36743
A_183,14,9,40653
A_184,19,9,42271
A_185,92,0,46092
A_186,75,6,46826
A_187,71,1,37922
A_188,18,1,21926
A_189,73,0,35056
A_190,82,13,64142
A_191,48,11,44966
A_192,30,0,29426
A_193,77,3,38949
A_194,9,11,42384
A_195,93,9,55843
A_196,65,0,31258
A_197,48,3,33559
A_198,56,15,61081
A_199,23,15,45873
A_200,25,1,31223
A_201,67,6,48849
A_202,58,8,46350
A_203,5,9,30415
A_204,20,14,46838
A_205,31,14,48439
A_206,1,9,37216
A_207,17,11,45117
A_208,56,13,54304
A_209,71,8,45329
A_210,46,8,42482
A_211,52,12,48867
A_212,22,3,32145
A_213,13,6,31542
A_214,56,0,38945
A_215,72,12,56018
A_216,80,11,56519
A_217,85,0,44028
A_218,83,11,55311
A_219,86,9,58798
A_220,8,11,42577
A_221,10,6,34817
A_222,74,3,42294
A_223,32,14,50699
A_224,31,14,53481
A_225,69,15,64011
A_226,37,13,44921
A_227,37,1,34450
A_228,99,2,43952
A_229,19,4,33850
A_230,71,10,53041
A_231,1,11,39113
A_232,51,12,51826
A_233,93,15,66478
A_234,6,2,27361
A_235,42,1,32486
A_236,62,6,40925
A_237,20,5,36090
A_238,25,6,35921
A_239,88,3,48642
A_240,17,5,27680
A_241,47,10,49174
A_242,8,15,39745
A_243,96,1,46703
A_244,31,7,37832
A_245,57,15,54197
A_246,28,9,43614
A_247,25,8,33352
A_248,58,4,35677
A_249,37,12,45195
A_250,74,6,45945
A_251,81,0,39872
A_252,15,15,46081
A_253,39,2,28383
A_254,43,3,33224
A_255,14,0,26738
A_256,7,8,38267
A_257,45,0,34625
A_258,32,11,42315
A_259,3,8,37702
A_260,80,8,50875
A_261,15,4,32846
A_262,78,5,50172
A_263,35,10,43001
A_264,53,9,46977
A_265,48,3,38431
A_266,38,8,37354
A_267,63,14,53707
A_268,55,9,49178
A_269,38,12,49694
A_270,60,4,36746
A_271,55,6,41772
A_272,35,3,32478
A_273,69,6,50451
A_274,65,7,45176
A_275,32,6,41128
A_276,12,14,43054
A_277,12,7,34303
A_278,34,1,26720
A_279,34,11,47403
A_280,60,14,55514
A_281,86,5,44440
A_282,23,0,27075
A_283,92,9,60590
A_284,81,6,47257
A_285,98,10,56136
A_286,82,2,47245
A_287,51,11,45182
A_288,52,15,53557
A_289,16,7,33428
A_290,17,2,24484
A_291,53,14,58242
A_292,10,15,44571
A_293,12,1,27205
A_294,40,10,44263
A_295,84,5,47174
A_296,73,0,42960
A_297,10,2,25823
A_298,91,8,59551
A_299,28,12,46189
A_300,85,7,50669
A_301,90,5,52957
A_302,68,6,45623
A_303,70,9,52341
A_304,32,8,37807
A_305,91,8,52980
A_306,94,15,65300
A_307,16,5,32638
A_308,99,5,56853
A_309,51,3,40370
A_310,65,15,62811
A_311,66,10,52603
A_312,74,8,51329
A_313,40,3,38752
A_314,53,9,43912
A_315,29,4,30660
A_316,68,9,47343
A_317,6,9,33810
A_318,54,3,40145
A_319,82,1,41647
A_320,70,9,52575
A_321,12,14,42852
A_322,1,0,24975
A_323,35,3,34419
A_324,13,2,27889
A_325,82,10,53520
A_326,92,6,47888
A_327,53,6,44600
A_328,83,14,65274
A_329,66,12,56795
A_330,13,12,36792
A_331,97,9,62045
A_332,68,6,43132
A_333,54,15,57790
A_334,18,15,51981
A_335,91,1,48512
A_336,41,1,32090
A_337,87,12,55203
A_338,31,9,45125
A_339,66,1,33921
A_340,92,9,56012
A_341,33,15,50080
A_342,78,6,50848
A_343,26,0,30637
A_344,63,12,53694
A_345,87,3,48538
A_346,11,8,36650
A_347,75,2,41039
A_348,63,15,57906
A_349,47,2,33247
A_350,5,0,19255
A_351,91,0,44138
A_352,14,4,31142
A_353,17,12,43055
A_354,97,15,66599
A_355,57,0,34032
A_356,67,7,45190
A_357,32,3,31455
A_358,57,3,42291
A_359,47,0,32921
A_360,79,6,46626
A_361,89,2,45094
A_362,88,8,51274
A_363,78,10,59156
A_364,90,6,48067
A_365,52,13,49431
A_366,38,1,30934
A_367,73,10,55617
A_368,78,8,48930
A_369,88,13,59325
A_370,42,14,49329
A_371,79,4,47994
A_372,92,3,44338
A_373,52,0,37001
A_374,7,4,25808
A_375,17,15,49245
A_376,84,5,49452
A_377,97,9,58879
A_378,70,10,48188
A_379,38,15,52672
A_380,16,13,45484
A_381,4,3,24196
A_382,63,13,58322
A_383,76,1,45040
A_384,21,8,32868
A_385,3,4,30743
A_386,38,12,44304
A_387,35,8,42981
A_388,59,14,53310
A_389,34,12,49380
A_390,89,3,42999
A_391,87,3,48650
A_392,55,13,56360
A_393,43,5,34954
A_394,70,13,57447
A_395,49,15,50373
A_396,10,5,26931
A_397,69,5,41072
A_398,93,0,45399
A_399,70,10,53213
A_400,77,3,41849
A_401,67,5,40003
A_402,13,9,37694
A_403,32,3,28832
A_404,60,12,48504
A_405,59,14,54260
A_406,70,8,49779
A_407,68,8,47049
A_408,31,3,28461
A_409,34,6,41261
A_410,75,7,47649
A_411,82,4,49797
A_412,61,14,55111
A_413,64,6,43130
A_414,47,9,41362
A_415,6,15,48924
A_416,10,1,21093
A_417,91,13,66010
A_418,56,2,34495
A_419,50,5,37226
A_420,49,4,40331
A_421,89,9,58634
A_422,69,11,51461
A_423,6,6,29187
A_424,87,9,56400
A_425,13,13,44521
A_426,63,9,45918
A_427,11,7,34913
A_428,7,7,32434
A_429,30,2,35061
A_430,78,12,53381
A_431,43,1,36568
A_432,11,7,32854
A_433,18,0,22695
A_434,50,3,36398
A_435,95,8,58639
A_436,99,9,53491
A_437,68,4,42557
A_438,22,14,42821
A_439,6,7,35360
A_440,20,1,27091
A_441,98,3,46480
A_442,46,1,29656
A_443,37,15,54129
A_444,64,4,42681
A_445,41,14,51724
A_446,71,15,63392
A_447,54,5,43626
A_448,80,7,55251
A_449,50,10,47052
A_450,25,0,24973
A_451,58,15,59214
A_452,72,8,51532
A_453,72,0,40213
A_454,25,5,31108
A_455,97,14,62798
A_456,95,10,53786
A_457,73,9,54878
A_458,64,0,40525
A_459,72,4,47901
A_460,20,1,28580
A_461,57,0,33805
A_462,66,12,55519
A_463,16,1,24987
A_464,13,4,28894
A_465,58,6,46052
A_466,26,14,43593
A_467,58,6,40511
A_468,61,11,49437
A_469,89,8,56312
A_470,5,3,25836
A_471,52,9,45317
A_472,15,5,34755
A_473,84,7,56495
A_474,58,11,55441
A_475,22,14,50177
A_476,93,10,61165
A_477,4,2,21359
A_478,70,8,52759
A_479,96,3,44593
A_480,86,8,54278
A_481,94,4,49108
A_482,9,7,33180
A_483,90,5,49328
A_484,21,0,22845
A_485,45,4,34953
A_486,1,2,22284
A_487,34,3,35065
A_488,50,10,44162
A_489,57,2,40391
A_490,91,1,39390
A_491,58,12,47912
A_492,17,6,32049
A_493,82,8,57153
A_494,38,8,41704
A_495,95,12,63791
A_496,46,13,50158
A_497,15,13,41674
A_498,69,4,46004
A_499,83,11,53235
A_500,6,13,43066
