Job_ID,Required_Skill_Level,Required_Experience,Salary_Offer
J_1,31,5,37237
J_2,39,5,37962
J_3,83,2,50388
J_4,49,0,31723
J_5,60,3,40587
J_6,11,3,30227
J_7,60,7,39313
J_8,95,4,47691
J_9,86,1,39792
J_10,64,0,37994
J_11,71,4,37471
J_12,63,7,53990
J_13,51,1,30799
J_14,39,2,30332
J_15,82,9,50023
J_16,53,9,47091
J_17,16,5,34158
J_18,65,6,41141
J_19,69,1,33050
J_20,77,5,39339
J_21,17,1,28419
J_22,12,5,37496
J_23,85,0,36429
J_24,41,1,30960
J_25,64,5,45492
J_26,22,6,36540
J_27,19,5,31031
J_28,57,7,44352
J_29,65,3,47705
J_30,54,5,41982
J_31,77,4,49635
J_32,19,9,32781
J_33,73,6,41573
J_34,30,1,35628
J_35,23,2,28435
J_36,54,4,38475
J_37,76,6,54962
J_38,57,9,52461
J_39,74,1,37707
J_40,10,5,25561
J_41,11,7,38004
J_42,93,1,50056
J_43,64,0,33934
J_44,34,5,40188
J_45,84,1,39673
J_46,88,2,41078
J_47,69,8,49408
J_48,75,3,49348
J_49,57,7,44493
J_50,53,10,46373
J_51,53,7,46993
J_52,48,4,30590
J_53,73,10,56682
J_54,21,0,31318
J_55,69,5,42143
J_56,81,6,49060
J_57,65,9,41986
J_58,30,1,32639
J_59,85,8,52697
J_60,18,2,31265
J_61,79,4,44916
J_62,27,6,36076
J_63,76,4,46043
J_64,33,3,31103
J_65,57,6,46755
J_66,30,9,45893
J_67,13,3,23842
J_68,33,6,42831
J_69,51,7,46835
J_70,69,4,45317
J_71,37,1,35736
J_72,92,7,47098
J_73,92,2,49736
J_74,78,5,54865
J_75,90,9,60227
J_76,46,0,26803
J_77,70,10,52835
J_78,49,9,42625
J_79,10,7,30618
J_80,93,9,53468
J_81,63,0,38444
J_82,88,4,47978
J_83,49,9,53059
J_84,24,8,30537
J_85,10,10,34712
J_86,57,7,39466
J_87,72,4,36063
J_88,72,7,44332
J_89,62,3,42533
J_90,64,0,30609
J_91,23,2,31768
J_92,64,9,54840
J_93,17,2,33229
J_94,84,9,60209
J_95,11,1,29274
J_96,85,8,46999
J_97,43,4,38602
J_98,59,2,32315
J_99,87,3,44539
J_100,52,7,40311
J_101,73,3,48851
J_102,51,3,36139
J_103,60,4,33068
J_104,70,2,36996
J_105,61,10,46633
J_106,65,10,45623
J_107,56,10,50529
J_108,55,0,29246
J_109,76,7,46339
J_110,53,10,41242
J_111,64,0,42190
J_112,25,9,41817
J_113,87,1,39424
J_114,12,10,36889
J_115,56,6,40668
J_116,13,3,34287
J_117,34,2,31671
J_118,12,7,28106
J_119,47,5,34103
J_120,37,6,41108
J_121,26,1,31841
J_122,86,10,50707
J_123,71,6,39270
J_124,88,0,41622
J_125,67,4,46177
J_126,20,8,31921
J_127,72,6,52588
J_128,56,8,48777
J_129,14,1,23031
J_130,14,9,40690
J_131,86,7,55766
J_132,58,8,43085
J_133,34,5,30388
J_134,15,2,28574
J_135,66,8,55931
J_136,61,3,41227
J_137,39,4,28553
J_138,84,7,53517
J_139,14,7,32547
J_140,80,0,44169
J_141,46,7,46403
J_142,55,4,35495
J_143,91,3,54800
J_144,70,3,42263
J_145,16,2,22234
J_146,65,1,42910
J_147,41,8,41770
J_148,74,1,34547
J_149,35,1,26464
J_150,52,7,46892
J_151,42,6,37465
J_152,59,6,38819
J_153,12,1,22842
J_154,73,1,31811
J_155,70,4,36295
J_156,75,4,50915
J_157,70,10,58986
J_158,70,9,51625
J_159,27,2,36673
J_160,45,7,39933
J_161,37,2,27248
J_162,15,7,34585
J_163,88,2,47979
J_164,89,7,56163
J_165,48,5,43105
J_166,10,5,33363
J_167,95,7,55673
J_168,89,8,61963
J_169,50,6,38731
J_170,35,9,44116
J_171,52,3,32457
J_172,36,0,30970
J_173,73,3,47506
J_174,21,3,24989
J_175,15,1,28191
J_176,95,6,46349
J_177,73,8,57341
J_178,32,9,42058
J_179,19,2,34208
J_180,69,2,36756
J_181,80,8,54691
J_182,18,1,25493
J_183,60,10,48619
J_184,38,10,40760
J_185,43,4,34595
J_186,86,9,48319
J_187,90,2,46777
J_188,88,0,48912
J_189,73,5,48950
J_190,31,1,30180
J_191,83,3,50093
J_192,78,0,37398
J_193,13,7,28142
J_194,61,0,30044
J_195,27,0,20319
J_196,34,2,32925
J_197,72,7,49522
J_198,81,5,46472
J_199,63,4,33986
J_200,34,0,28518
J_201,88,10,55852
J_202,79,5,54067
J_203,38,10,42983
J_204,27,2,34005
J_205,14,9,32744
J_206,47,0,34899
J_207,85,6,49440
J_208,10,5,29800
J_209,28,9,35562
J_210,56,4,45004
J_211,38,2,25846
J_212,48,5,43676
J_213,71,1,32138
J_214,67,3,48157
J_215,72,7,44195
J_216,60,8,49325
J_217,87,6,50153
J_218,27,2,28382
J_219,53,10,47867
J_220,90,1,37535
J_221,54,2,42695
J_222,28,6,38127
J_223,13,0,21574
J_224,14,3,29496
J_225,82,9,60279
J_226,87,0,47795
J_227,72,7,41576
J_228,10,2,27182
J_229,23,4,29708
J_230,46,8,37598
J_231,81,1,44702
J_232,91,10,65097
J_233,75,1,44968
J_234,91,7,54995
J_235,17,2,28425
J_236,10,8,37423
J_237,12,6,37850
J_238,10,9,42682
J_239,55,7,36810
J_240,27,4,31242
J_241,26,10,43812
J_242,68,10,55745
J_243,71,10,53787
J_244,11,9,40039
J_245,38,0,23613
J_246,13,5,29712
J_247,69,10,49253
J_248,79,8,52970
J_249,67,3,42281
J_250,15,4,37171
J_251,87,9,51271
J_252,78,9,59827
J_253,83,7,58989
J_254,86,6,48993
J_255,37,1,31370
J_256,95,10,60454
J_257,54,0,30945
J_258,45,9,44295
J_259,85,3,47250
J_260,37,4,35084
J_261,50,6,34874
J_262,57,7,37509
J_263,47,3,31566
J_264,88,1,45925
J_265,74,0,32350
J_266,68,9,46990
J_267,42,4,42234
J_268,18,5,37389
J_269,31,2,29906
J_270,48,5,41727
J_271,35,6,41811
J_272,68,5,44661
J_273,62,2,39005
J_274,15,5,29448
J_275,56,7,49372
J_276,43,6,45555
J_277,45,2,35875
J_278,14,10,43121
J_279,84,10,55474
J_280,48,5,38467
J_281,78,0,32364
J_282,15,3,25398
J_283,52,10,47648
J_284,83,6,49446
J_285,69,8,52975
J_286,12,4,33071
J_287,60,7,52579
J_288,38,8,42022
J_289,64,8,49188
J_290,88,1,36065
J_291,14,2,32025
J_292,94,6,56493
J_293,28,6,34218
J_294,86,1,39838
J_295,92,0,48897
J_296,15,3,36080
J_297,93,1,41963
J_298,64,3,47476
J_299,65,2,39324
J_300,85,6,49511
J_301,62,9,41792
J_302,41,9,50261
J_303,85,0,39272
J_304,48,5,35816
J_305,79,2,43229
J_306,80,4,39619
J_307,37,5,39495
J_308,80,4,44420
J_309,47,9,52069
J_310,53,10,40302
J_311,75,4,51893
J_312,55,1,40687
J_313,14,9,29464
J_314,32,8,47961
J_315,73,6,53023
J_316,41,3,28569
J_317,70,10,48812
J_318,92,1,41257
J_319,88,4,51442
J_320,20,9,37604
J_321,33,9,47295
J_322,48,3,34213
J_323,28,8,39027
J_324,94,9,56277
J_325,73,1,42626
J_326,53,6,36854
J_327,65,3,37201
J_328,34,4,34339
J_329,92,7,53191
J_330,55,7,45308
J_331,44,3,35465
J_332,71,10,47386
J_333,29,5,42382
J_334,50,8,43269
J_335,76,3,42037
J_336,22,5,39531
J_337,71,1,40120
J_338,76,4,38817
J_339,37,5,34286
J_340,49,1,30647
J_341,12,2,28807
J_342,74,10,48261
J_343,65,9,56436
J_344,24,7,38801
J_345,16,9,33333
J_346,83,5,48705
J_347,28,4,38788
J_348,58,6,37486
J_349,11,8,34052
J_350,69,6,42330
J_351,56,6,49357
J_352,20,4,30641
J_353,74,8,51609
J_354,37,2,25159
J_355,93,5,58253
J_356,30,10,48006
J_357,69,8,41820
J_358,73,10,55639
J_359,49,8,42089
J_360,22,2,32531
J_361,85,0,39688
J_362,92,10,52731
J_363,66,10,50260
J_364,62,2,40649
J_365,37,5,29031
J_366,83,5,45687
J_367,69,7,51587
J_368,22,1,20229
J_369,81,3,41427
J_370,84,0,46748
J_371,30,7,43079
J_372,63,5,42770
J_373,64,7,51243
J_374,84,2,46527
J_375,48,6,35290
J_376,51,3,44750
J_377,73,0,42052
J_378,53,9,49660
J_379,18,5,35516
J_380,71,3,39967
J_381,44,4,36484
J_382,78,1,33305
J_383,63,4,49644
J_384,52,8,41673
J_385,48,7,40833
J_386,60,0,28172
J_387,12,5,30594
J_388,29,6,31861
J_389,39,6,43047
J_390,22,8,43486
J_391,53,2,39015
J_392,27,6,38250
J_393,72,7,54663
J_394,78,0,41179
J_395,75,9,58754
J_396,53,6,40503
J_397,67,6,53194
J_398,79,3,38713
J_399,54,2,34616
J_400,77,9,47751
J_401,21,2,34542
J_402,38,5,30414
J_403,40,8,49832
J_404,15,6,33658
J_405,37,5,42675
J_406,56,6,45315
J_407,23,7,30235
J_408,58,5,42332
J_409,94,1,49315
J_410,65,3,43551
J_411,58,0,33384
J_412,75,4,41725
J_413,67,3,37579
J_414,54,4,45560
J_415,40,3,33147
J_416,37,0,30187
J_417,81,0,34989
J_418,23,7,34635
J_419,65,2,41039
J_420,31,0,29205
J_421,58,10,48141
J_422,31,1,34055
J_423,46,8,43092
J_424,81,5,40516
J_425,63,8,43786
J_426,43,1,37082
J_427,65,9,43525
J_428,88,4,43471
J_429,93,3,43851
J_430,51,3,39943
J_431,84,8,48361
J_432,61,4,45945
J_433,53,0,25944
J_434,48,9,53335
J_435,46,7,40131
J_436,28,7,43160
J_437,39,7,37822
J_438,74,3,43628
J_439,10,5,32360
J_440,50,5,43425
J_441,67,2,38707
J_442,88,10,54653
J_443,32,1,36316
J_444,49,10,41225
J_445,57,7,36978
J_446,28,1,24664
J_447,12,1,28086
J_448,38,2,26340
J_449,33,5,31549
J_450,95,1,42464
J_451,68,0,41424
J_452,71,7,54738
J_453,63,7,41334
J_454,78,6,53407
J_455,40,7,38521
J_456,23,9,46279
J_457,20,10,45988
J_458,48,6,46538
J_459,54,9,50798
J_460,21,1,29160
J_461,87,5,51491
J_462,36,1,37239
J_463,20,7,43498
J_464,15,5,33348
J_465,32,5,40267
J_466,19,7,36194
J_467,70,4,39233
J_468,60,7,45325
J_469,31,2,24508
J_470,48,0,30232
J_471,18,7,30919
J_472,84,3,44541
J_473,74,6,52191
J_474,56,3,40389
J_475,81,3,37309
J_476,78,0,36531
J_477,66,6,52253
J_478,88,6,44892
J_479,56,8,47637
J_480,91,3,40211
J_481,22,3,25644
J_482,23,4,24604
J_483,15,4,29499
J_484,80,0,35487
J_485,41,9,38300
J_486,91,9,51616
J_487,91,6,53106
J_488,60,5,46199
J_489,19,10,43742
J_490,32,2,37775
J_491,32,0,26203
J_492,35,5,38630
J_493,68,3,42498
J_494,12,10,36583
J_495,18,7,33545
J_496,95,4,47238
J_497,93,10,52920
J_498,54,8,52158
J_499,55,1,42707
J_500,21,7,29910
J_501,52,10,43995
J_502,49,7,42776
J_503,22,5,38874
J_504,55,4,44633
J_505,50,4,46037
J_506,45,6,37286
J_507,20,0,20500
J_508,55,0,35299
J_509,40,4,34003
J_510,26,8,31537
J_511,81,2,37340
J_512,59,4,48227
J_513,49,2,38918
J_514,56,2,33769
J_515,68,9,44860
J_516,22,1,28690
J_517,62,1,43135
J_518,87,1,41068
J_519,37,8,48495
J_520,42,6,37339
J_521,34,4,34320
J_522,40,6,37599
J_523,90,1,42085
J_524,26,4,35958
J_525,60,6,42368
J_526,87,4,53983
J_527,74,5,53168
J_528,58,2,34003
J_529,60,5,42173
J_530,66,5,51144
J_531,57,5,41102
J_532,45,0,23657
J_533,33,9,39704
J_534,53,6,47503
J_535,85,2,38789
J_536,60,7,47918
J_537,40,5,40392
J_538,71,1,35548
J_539,17,5,31798
J_540,80,6,55978
J_541,22,3,35047
J_542,82,5,50823
J_543,85,9,58279
J_544,82,1,48804
J_545,48,9,41118
J_546,36,2,25988
J_547,84,10,53432
J_548,75,2,39502
J_549,68,4,44646
J_550,29,3,26514
J_551,37,1,35230
J_552,80,3,36804
J_553,91,5,45835
J_554,40,3,38749
J_555,23,7,31806
J_556,86,0,41124
J_557,11,5,25489
J_558,80,3,43424
J_559,35,7,38670
J_560,55,4,32120
J_561,18,5,38119
J_562,77,6,53140
J_563,44,5,32123
J_564,75,2,43485
J_565,16,1,17989
J_566,20,4,33757
J_567,55,0,41228
J_568,92,5,44200
J_569,45,5,35118
J_570,78,0,45609
J_571,31,8,36255
J_572,28,7,39426
J_573,23,8,35102
J_574,67,5,44209
J_575,59,5,36616
J_576,31,5,39194
J_577,79,1,40660
J_578,46,8,51262
J_579,36,3,30858
J_580,68,5,43446
J_581,53,8,46713
J_582,75,4,40711
J_583,93,9,62411
J_584,55,9,41600
J_585,88,10,60814
J_586,41,4,32006
J_587,90,10,55577
J_588,84,6,46596
J_589,62,4,38411
J_590,70,7,43749
J_591,74,2,48636
J_592,15,3,29943
J_593,24,1,29788
J_594,56,10,53997
J_595,64,9,43579
J_596,90,5,44140
J_597,91,10,60123
J_598,38,6,42998
J_599,42,10,50238
J_600,95,5,54199
J_601,90,0,37982
J_602,35,5,33497
J_603,41,4,38035
J_604,41,9,42799
J_605,17,6,31558
J_606,28,8,41325
J_607,29,10,46297
J_608,85,8,48369
J_609,92,1,39643
J_610,37,7,46858
J_611,15,0,30001
J_612,17,2,20923
J_613,62,10,50048
J_614,74,8,58264
J_615,66,3,35355
J_616,17,6,33843
J_617,17,6,34963
J_618,13,8,39337
J_619,82,1,48177
J_620,93,2,50614
J_621,23,7,32270
J_622,34,2,37748
J_623,76,5,53866
