Applicant_ID,Skill_Level,Years_Experience,Expected_Salary
A_1,13,13,42387
A_2,53,11,45718
A_3,41,13,50756
A_4,67,3,43955
A_5,20,3,29275
A_6,50,2,32512
A_7,53,11,49503
A_8,50,4,37734
A_9,100,0,40860
A_10,45,15,58583
A_11,75,2,39221
A_12,86,3,45902
A_13,18,5,32111
A_14,3,13,41007
A_15,95,1,47529
A_16,34,2,29037
A_17,79,12,55059
A_18,88,1,42920
A_19,58,12,49533
A_20,11,3,28840
A_21,26,7,33461
A_22,4,15,47571
A_23,7,0,17301
A_24,1,3,20299
A_25,34,5,38449
A_26,6,5,28277
A_27,32,2,28271
A_28,90,2,41715
A_29,40,13,53563
A_30,8,8,34267
A_31,9,13,36981
A_32,57,14,55421
A_33,23,2,27207
A_34,73,5,42538
A_35,93,11,55440
A_36,92,3,44355
A_37,39,1,35911
A_38,12,9,38588
A_39,89,15,61111
A_40,73,10,57744
A_41,51,9,43706
A_42,26,5,32497
A_43,70,13,60923
A_44,99,1,46555
A_45,89,2,46558
A_46,28,14,49837
A_47,52,5,43597
A_48,72,0,40749
A_49,92,15,64088
A_50,48,11,51093
A_51,34,0,25791
A_52,14,7,30936
A_53,34,7,38380
A_54,60,15,57949
A_55,96,0,48188
A_56,83,12,59673
A_57,65,1,34655
A_58,71,5,44537
A_59,31,5,39151
A_60,24,11,42343
A_61,22,4,35898
A_62,52,14,55936
A_63,4,2,21236
A_64,48,4,42804
A_65,94,9,59896
A_66,17,14,44705
A_67,5,13,41052
A_68,64,7,46576
A_69,20,10,35683
A_70,16,5,29897
A_71,86,13,63879
A_72,82,5,44912
A_73,98,9,59032
A_74,71,0,42213
A_75,76,1,42210
A_76,54,1,37679
A_77,83,6,47621
A_78,11,7,29794
A_79,71,6,48672
A_80,97,3,52528
A_81,82,14,56697
A_82,2,9,34093
A_83,44,4,38498
A_84,32,12,46440
A_85,56,6,44868
A_86,93,10,54874
A_87,25,7,38764
A_88,93,11,62314
A_89,89,6,50822
A_90,61,5,38696
A_91,85,2,43457
A_92,80,6,46462
A_93,37,4,38548
A_94,97,14,65396
A_95,58,14,53013
A_96,90,0,44597
A_97,63,4,40746
A_98,19,13,41219
A_99,59,1,38454
A_100,23,11,42844
A_101,19,5,29272
A_102,73,3,39179
A_103,94,2,50276
A_104,17,4,29077
A_105,37,9,43875
A_106,16,8,40663
A_107,72,9,48465
A_108,30,1,27401
A_109,73,12,54318
A_110,71,8,49604
A_111,65,15,58571
A_112,26,6,32524
A_113,12,14,45874
A_114,28,8,38399
A_115,57,15,53717
A_116,17,13,46003
A_117,16,12,44911
A_118,24,11,47321
A_119,50,4,38580
A_120,60,8,50926
A_121,47,2,32872
A_122,44,5,37795
A_123,67,3,40134
A_124,75,1,38696
A_125,84,12,63608
A_126,76,15,60241
A_127,80,14,63182
A_128,4,8,35462
A_129,1,2,21846
A_130,18,4,35387
A_131,90,14,67351
A_132,47,8,43435
A_133,87,6,53339
A_134,70,14,53944
A_135,47,7,42554
A_136,80,9,56886
A_137,68,5,41831
A_138,34,10,40112
A_139,42,1,28973
A_140,61,9,47923
A_141,100,9,55749
A_142,84,10,53105
A_143,62,9,48078
A_144,43,11,43089
A_145,31,1,25749
A_146,65,3,35843
A_147,21,9,37272
A_148,68,2,43056
A_149,49,10,46456
A_150,57,7,48917
A_151,41,1,33023
A_152,55,3,36247
A_153,98,3,51076
A_154,41,0,34274
A_155,65,0,38373
A_156,44,12,44694
A_157,35,11,43438
A_158,72,0,37309
A_159,70,8,51581
A_160,4,10,40872
A_161,29,5,32662
A_162,43,10,41397
A_163,96,15,64843
A_164,91,9,60150
A_165,80,3,45687
A_166,76,3,42989
A_167,1,1,17453
A_168,76,14,63146
A_169,17,11,43578
A_170,51,0,34044
A_171,81,6,51183
A_172,25,8,35573
A_173,65,0,38042
A_174,23,3,33030
A_175,76,9,55193
A_176,42,5,41672
A_177,17,1,24098
A_178,68,5,46553
A_179,19,9,36912
A_180,56,8,48239
A_181,51,12,50320
A_182,33,4,32898
A_183,60,7,44536
A_184,30,2,29487
A_185,79,13,60999
A_186,78,10,51865
A_187,99,10,64221
A_188,87,6,47957
A_189,26,8,35240
A_190,29,13,42691
A_191,40,2,32954
A_192,70,3,45570
A_193,41,11,44735
A_194,26,13,47987
A_195,39,9,44740
A_196,26,11,46745
A_197,15,0,24713
A_198,27,11,46362
A_199,69,1,42274
A_200,8,14,46039
A_201,75,5,48673
A_202,18,0,23949
A_203,89,14,62386
A_204,93,1,41650
A_205,75,11,56248
A_206,22,4,29745
A_207,33,15,54593
A_208,3,12,40261
A_209,21,10,37193
A_210,54,2,41362
A_211,69,11,56382
A_212,94,7,56135
A_213,1,7,34068
A_214,71,8,52513
A_215,15,15,42450
A_216,44,12,53546
A_217,64,10,47811
A_218,71,5,49152
A_219,42,10,42206
A_220,84,12,59418
A_221,82,6,46660
A_222,40,2,34264
A_223,2,14,46015
A_224,73,1,34877
A_225,98,0,39694
A_226,95,0,40489
A_227,93,1,49148
A_228,52,5,36241
A_229,58,9,52276
A_230,84,4,51863
A_231,21,8,34193
A_232,13,15,43304
A_233,85,12,64216
A_234,90,12,64011
A_235,26,11,46035
A_236,98,3,53223
A_237,8,13,45953
A_238,47,13,53366
A_239,3,8,28115
A_240,56,6,42830
A_241,61,12,52811
A_242,77,12,56335
A_243,91,15,63990
A_244,45,4,33478
A_245,9,1,21380
A_246,33,9,42579
A_247,95,8,51749
A_248,12,6,34594
A_249,31,0,31539
A_250,84,15,65431
A_251,53,7,41299
A_252,32,0,28888
A_253,74,6,48611
A_254,28,9,42443
A_255,58,6,44682
A_256,50,9,50037
A_257,41,8,38818
A_258,20,3,27794
A_259,43,11,51302
A_260,46,4,40186
A_261,51,4,38850
A_262,52,10,43669
A_263,19,2,27216
A_264,16,3,25370
A_265,92,9,53808
A_266,35,0,31965
A_267,17,8,36574
A_268,67,11,50078
A_269,29,11,44767
A_270,56,2,38107
A_271,16,11,38433
A_272,31,1,28541
A_273,2,6,25002
A_274,73,13,57437
A_275,14,11,37647
A_276,31,15,49605
A_277,28,8,39436
A_278,44,11,46036
A_279,52,6,43900
A_280,92,4,51498
A_281,25,10,39063
A_282,32,1,24597
A_283,16,7,30547
A_284,55,12,53782
A_285,44,2,30574
A_286,6,11,42190
A_287,52,12,55411
A_288,78,9,54330
A_289,67,2,41475
A_290,46,12,47762
A_291,98,12,58908
A_292,28,4,35628
A_293,47,0,27720
A_294,72,14,58493
A_295,79,2,37777
A_296,64,5,40744
A_297,58,13,58706
A_298,46,9,45953
A_299,74,10,52154
A_300,93,2,43635
A_301,45,0,36013
A_302,14,8,33145
A_303,71,1,34846
A_304,88,5,54089
A_305,95,10,55671
A_306,28,14,46881
A_307,97,3,50117
A_308,84,13,58621
A_309,8,1,20347
A_310,97,7,54017
A_311,72,12,55335
A_312,45,14,48268
A_313,60,12,51170
A_314,52,10,51110
A_315,62,1,32834
A_316,36,13,53113
A_317,52,6,44669
A_318,82,7,47739
A_319,67,3,38490
A_320,25,7,40923
A_321,68,11,51917
A_322,69,15,61581
A_323,4,15,43278
A_324,21,6,31469
A_325,5,5,31217
A_326,88,13,62762
A_327,30,14,48284
A_328,47,12,51856
A_329,84,14,62616
A_330,79,8,48272
A_331,28,7,36740
A_332,18,0,21273
A_333,79,2,43812
A_334,46,8,40703
A_335,97,3,49585
A_336,46,1,37722
A_337,36,5,37923
A_338,46,5,36613
A_339,38,2,28069
A_340,97,2,43149
A_341,86,4,52167
A_342,86,8,56473
A_343,19,12,44710
A_344,71,15,64014
A_345,33,4,36994
A_346,87,7,53900
A_347,11,3,25787
A_348,84,0,37722
A_349,48,1,33827
A_350,91,12,60743
A_351,62,3,43187
A_352,45,15,50751
A_353,74,9,53655
A_354,22,14,42242
A_355,7,7,29951
A_356,58,10,44898
A_357,76,13,55741
A_358,30,13,48409
A_359,32,7,41829
A_360,44,12,50983
A_361,44,12,45025
A_362,81,1,39876
A_363,89,14,65214
A_364,81,0,40915
A_365,87,0,41646
A_366,38,10,47269
A_367,17,14,45781
A_368,12,0,25065
A_369,6,11,40409
A_370,3,14,45603
A_371,66,4,41367
A_372,54,13,49033
A_373,91,5,53768
A_374,92,1,44524
A_375,87,5,53228
A_376,60,6,44170
A_377,33,7,40594
A_378,57,4,44663
A_379,56,9,46312
A_380,16,6,37605
A_381,3,4,31189
A_382,21,10,45190
A_383,66,14,60397
A_384,32,2,33527
A_385,30,0,30488
A_386,58,2,38866
A_387,9,3,25658
A_388,6,10,33892
A_389,78,15,60899
A_390,7,0,24049
A_391,78,5,44727
A_392,74,9,49367
A_393,81,11,57238
A_394,14,6,31689
A_395,9,2,26329
A_396,40,8,44637
A_397,44,7,37742
A_398,71,9,53395
A_399,49,8,44633
A_400,71,12,59625
A_401,43,14,50612
A_402,79,8,56412
A_403,42,7,40560
A_404,83,13,56978
A_405,41,6,43951
A_406,4,3,25049
A_407,31,5,39429
A_408,90,2,49979
A_409,22,1,23163
A_410,97,13,59201
A_411,55,7,40154
A_412,7,15,41867
A_413,59,9,48574
A_414,58,7,45554
A_415,100,3,44648
A_416,7,5,33359
A_417,45,6,43961
A_418,40,3,33623
A_419,18,3,26538
A_420,89,10,59163
A_421,94,2,46490
A_422,22,3,31317
A_423,20,10,43735
A_424,70,2,44113
A_425,20,9,36898
A_426,36,15,53067
A_427,75,4,48654
A_428,2,1,18428
A_429,99,1,50573
A_430,82,0,45116
A_431,77,9,52233
A_432,42,9,43838
A_433,78,14,60483
A_434,79,5,45290
A_435,11,15,48385
A_436,35,9,43517
A_437,43,10,45094
A_438,56,8,43305
A_439,57,0,38299
A_440,27,6,33102
A_441,50,7,39256
A_442,49,3,35037
A_443,67,2,36401
A_444,72,14,54195
A_445,1,12,39541
A_446,34,3,29358
A_447,96,12,59143
A_448,69,4,40037
A_449,83,5,52308
A_450,58,9,52318
A_451,82,9,49927
A_452,2,5,26420
A_453,44,6,41121
A_454,18,11,45733
A_455,10,1,21165
A_456,24,8,37545
A_457,59,6,40693
A_458,8,1,23198
A_459,23,13,50052
A_460,21,4,31016
A_461,67,9,50192
A_462,94,8,51025
A_463,27,1,31081
A_464,97,2,51441
A_465,71,5,41017
A_466,40,2,36175
A_467,37,10,45799
A_468,70,10,49480
A_469,67,3,37911
A_470,89,10,55346
A_471,21,2,28294
A_472,69,1,39397
A_473,54,10,49018
A_474,41,1,27585
A_475,97,6,49988
A_476,61,7,45306
A_477,61,0,31609
A_478,61,6,46355
A_479,46,5,41734
A_480,73,3,38950
A_481,39,3,32775
A_482,72,15,59463
A_483,53,3,40663
A_484,2,3,24365
A_485,18,1,27237
A_486,1,4,29432
A_487,8,3,29977
A_488,43,9,48738
A_489,39,0,25896
A_490,76,13,58964
A_491,27,0,27792
A_492,81,2,41897
A_493,94,13,65430
A_494,44,13,52960
A_495,42,3,31340
